	site_no	Mean Flow	Coeff Var	Tqmean	R-B Index	Station
1	3335000.0	310.9470202020202	52.036083804334616	0.3292929292929293	0.1721816592948325	Wildcat
2	3335000.0	329.70508308895404	46.2059975277349	0.3523949169110459	0.1457682017185832	Wildcat
3	3335000.0	565.104696969697	59.65110764073719	0.3287878787878788	0.17960536407719435	Wildcat
4	3335000.0	855.6199902248287	65.05864828389296	0.3509286412512221	0.186133914448317	Wildcat
5	3335000.0	988.301759530792	80.43774565357266	0.33088954056695996	0.21732040521312085	Wildcat
6	3335000.0	1109.99184579788	77.27309226049715	0.33603896103896114	0.2251892189443075	Wildcat
7	3335000.0	1363.4943792766373	65.76087724680833	0.3520690778755295	0.20555316853364983	Wildcat
8	3335000.0	1380.1972494172496	64.61611794585346	0.35585081585081596	0.20376237607983783	Wildcat
9	3335000.0	1048.1607862903227	64.15721522884071	0.3684475806451614	0.20799388797179838	Wildcat
19	3335000.0	1011.1217171717168	74.20222736798323	0.3240740740740741	0.26896944299232134	Wildcat
11	3335000.0	658.2445747800588	67.76869388393945	0.33479960899315736	0.24788358359018695	Wildcat
12	3335000.0	321.8044477028348	67.47217258381178	0.3098729227761487	0.22827068165093592	Wildcat
1	3331500.0	1066.508588186008	36.87358132652354	0.39966485127775464	0.08725897850424917	Tippe
2	3331500.0	1209.905348346235	44.17138116538464	0.3887467212590366	0.09647337141937212	Tippe
3	3331500.0	1474.4391844714426	32.98870237047012	0.41533305404273146	0.07740549301512697	Tippe
4	3331500.0	1515.178070175439	32.41810769009525	0.4447368421052631	0.07788451735766157	Tippe
5	3331500.0	1171.5751273344656	34.58808779882189	0.4070458404074704	0.07656305305225626	Tippe
6	3331500.0	972.6605263157896	33.8873115073423	0.4271929824561402	0.08947530858346311	Tippe
7	3331500.0	644.6349745331072	36.7080190223075	0.40237691001697795	0.0882326131552956	Tippe
8	3331500.0	444.22792869269955	29.56227650476618	0.41086587436332755	0.07140922693085708	Tippe
9	3331500.0	373.4622807017544	24.519318188096648	0.39166666666666655	0.06159763802730998	Tippe
19	3331500.0	465.1089233347299	24.845649333696624	0.4080435693338918	0.055010837392265144	Tippe
11	3331500.0	617.4541125541126	28.703048840803962	0.40909090909090895	0.06978645249196602	Tippe
12	3331500.0	845.0909090909091	32.208946229818	0.40427314620863014	0.07471060609431403	Tippe
